episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
2001, -2612.4023092985153, 2, 1.5019083219995082, 66, 167820,                                             181745, 0.0, 7718.03125
2002, -2857.7990911006927, 2, 1.5192778119999275, 96, 167916,                                             181841, 0.0, 9881.5419921875
2003, -3197.3847900629044, 2, 1.9023530180002126, 99, 168015,                                             181940, 0.0, 6264.6904296875
2004, -3654.6698644161224, 2, 3.506986104999669, 202, 168217,                                             182142, 0.0, 7528.0654296875
2005, -3461.3329513072968, 2, 2.320122017000358, 134, 168351,                                             182276, 0.0, 5879.3037109375
2006, -2670.639439880848, 2, 1.7003744240000742, 96, 168447,                                             182372, 0.0, 8256.4619140625
2007, -2588.0261110067368, 2, 1.3205120880002141, 72, 168519,                                             182444, 0.0, 7680.9697265625
2008, -4135.445514976978, 2, 5.703082112000629, 339, 168858,                                             182783, 0.0, 7939.255859375
2009, -2592.1595138311386, 2, 1.3207486430001154, 81, 168939,                                             182864, 0.0, 8839.755859375
2010, -2542.874827861786, 2, 1.6997824430000037, 83, 169022,                                             182947, 0.0, 7762.298828125
2011, -2599.9459915161133, 2, 1.3579591199995775, 73, 169095,                                             183020, 0.0, 8886.6435546875
2012, -2436.05633020401, 2, 1.304168437000044, 59, 169154,                                             183079, 0.0, 6261.7255859375
2013, -3837.662812232971, 2, 4.503871778000757, 266, 169420,                                             183345, 0.0, 9357.7919921875
2014, -2595.7748254537582, 2, 1.3020854079995843, 70, 169490,                                             183415, 0.0, 6140.29052734375
2015, -2339.873452425003, 2, 1.10399664400029, 52, 169542,                                             183467, 0.0, 7403.216796875
2016, -2447.2872017621994, 2, 0.9193753079998714, 54, 169596,                                             183521, 0.0, 7341.97119140625
2017, -2471.084733605385, 2, 1.2996987510005056, 61, 169657,                                             183582, 0.0, 9987.8173828125
2018, -2457.861706018448, 2, 1.1214938619996246, 59, 169716,                                             183641, 0.0, 4298.86083984375
2019, -3730.903872549534, 2, 4.102623591999873, 243, 169959,                                             183884, 0.0, 5842.0673828125
2020, -2458.4265500307083, 2, 1.1212193840001419, 61, 170020,                                             183945, 0.0, 9584.505859375
2021, -2429.373520374298, 2, 1.3288707460005753, 70, 170090,                                             184015, 0.0, 9770.2177734375
