episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
10001, -6043.0569778084755, 1, 23.674790439999924, 1218, 1356208,                                             1000000, 0.0, 7918.56591796875
10002, -14509.282531380653, 2, 22.767794643001253, 1168, 1357376,                                             1000000, 0.0, 8210.150390625
10003, -7209.332425951958, 2, 12.939633632999175, 640, 1358016,                                             1000000, 0.0, 6468.6025390625
10004, -5261.2495946884155, 2, 5.730016590001469, 269, 1358285,                                             1000000, 0.0, 6448.89599609375
10005, -4237.814748346806, 2, 6.904380012998445, 323, 1358608,                                             1000000, 0.0, 7282.9658203125
10006, -3324.224713563919, 2, 3.3290780230017845, 158, 1358766,                                             1000000, 0.0, 7510.5927734375
10007, -3467.2227593660355, 2, 4.7011917020026885, 217, 1358983,                                             1000000, 0.0, 8785.7490234375
10008, -3354.849419116974, 2, 3.5307522069997503, 159, 1359142,                                             1000000, 0.0, 7557.63134765625
10009, -2852.1610637903214, 2, 2.9001353200001176, 128, 1359270,                                             1000000, 0.0, 9914.9736328125
10010, -3027.947942852974, 2, 2.9034959740019985, 131, 1359401,                                             1000000, 0.0, 11215.57421875
10011, -5012.771395802498, 2, 9.854538347000926, 461, 1359862,                                             1000000, 0.0, 8911.796875
10012, -2861.851230621338, 2, 2.905555191999156, 126, 1359988,                                             1000000, 0.0, 8043.263671875
10013, -3035.6458382606506, 2, 3.9053911470000457, 161, 1360149,                                             1000000, 0.0, 8347.0
10014, -2969.180989265442, 2, 3.108573762998276, 123, 1360272,                                             1000000, 0.0, 11487.369140625
10015, -3225.33152282238, 2, 2.9343350199997076, 140, 1360412,                                             1000000, 0.0, 6108.9462890625
10016, -2876.790931224823, 2, 2.899864262999472, 131, 1360543,                                             1000000, 0.0, 11333.791015625
10017, -2981.8373316526413, 2, 3.505707315998734, 152, 1360695,                                             1000000, 0.0, 7042.90966796875
10018, -3713.76769387722, 2, 5.508641051001177, 253, 1360948,                                             1000000, 0.0, 7616.73095703125
10019, -5395.944818615913, 2, 8.108298019000358, 377, 1361325,                                             1000000, 0.0, 10263.2568359375
10020, -2974.882380962372, 2, 2.530169293000654, 120, 1361445,                                             1000000, 0.0, 8847.4873046875
10021, -5809.47070813179, 2, 9.166395050000574, 437, 1361882,                                             1000000, 0.0, 8975.44921875
10022, -3701.175645828247, 2, 4.130771979998826, 197, 1362079,                                             1000000, 0.0, 10873.7666015625
10023, -4617.617161512375, 2, 8.13534974799768, 383, 1362462,                                             1000000, 0.0, 8649.2802734375
10024, -6151.886538982391, 2, 10.907901423001022, 513, 1362975,                                             1000000, 0.0, 8290.8369140625
10025, -7849.491188764572, 2, 11.138169443998777, 530, 1363505,                                             1000000, 0.0, 7989.36962890625
10026, -4230.188345074654, 2, 6.103663285000948, 278, 1363783,                                             1000000, 0.0, 8686.93359375
10027, -4711.790535926819, 2, 9.536884191998979, 452, 1364235,                                             1000000, 0.0, 8365.3330078125
