episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -2843.753411412239, 2, 1.900968297999981, 101, 385,                                             385, 0.0, 26625.76953125
2, -2997.668576359749, 2, 1.938520896, 117, 502,                                             502, 0.0, 19679.6953125
3, -2721.490401148796, 2, 1.4981612240000004, 70, 572,                                             572, 0.0, 18525.298828125
4, -3107.362279653549, 2, 1.7153890520000061, 97, 669,                                             669, 0.0, 22365.5234375
5, -3286.8434422016144, 2, 3.0988104239999927, 181, 850,                                             850, 0.0, 21962.888671875
6, -2889.766129016876, 2, 1.899626703999985, 99, 949,                                             949, 0.0, 19514.208984375
7, -2902.9423265457153, 2, 1.314648740999985, 77, 1026,                                             1026, 0.0, 17921.177734375
8, -2682.0890171527863, 2, 1.6976360759999807, 90, 1116,                                             1116, 0.0, 23504.921875
9, -2581.4067890644073, 2, 1.301242306000006, 71, 1187,                                             1187, 0.0, 22865.76171875
10, -2494.0250507593155, 2, 1.1195779789999847, 64, 1251,                                             1251, 0.0, 17056.931640625
11, -2610.6139676570892, 2, 1.3670828340000014, 67, 1318,                                             1318, 0.0, 19953.212890625
12, -2607.1854889392853, 2, 1.7004765469999938, 87, 1405,                                             1405, 0.0, 18706.515625
13, 1902.5959274172783, 1, 1.319033834999999, 80, 1485,                                             1485, 0.0, 19714.935546875
14, -2669.3156267404556, 2, 1.498649628999999, 77, 1562,                                             1562, 0.0, 22997.533203125
15, -2570.048396706581, 2, 1.3196176429999866, 71, 1633,                                             1633, 0.0, 24978.810546875
16, -2299.522435605526, 2, 1.0959957190000011, 50, 1683,                                             1683, 0.0, 30393.126953125
17, -2391.3327929973602, 2, 1.1179355069999986, 59, 1742,                                             1742, 0.0, 28148.703125
18, -2432.1615404486656, 2, 1.298268997000008, 68, 1810,                                             1810, 0.0, 25466.333984375
19, -2867.6627173423767, 2, 1.9011280959999795, 100, 1910,                                             1910, 0.0, 24819.623046875
20, -2955.5011361837387, 2, 1.9143650929999865, 110, 2020,                                             2020, 0.0, 23726.69140625
21, -2743.322015762329, 2, 1.9010670529999913, 105, 2125,                                             2125, 0.0, 23996.021484375
22, -2411.257087945938, 2, 1.1185342619999972, 63, 2188,                                             2188, 0.0, 22276.642578125
23, -3044.1823694705963, 2, 1.716933675000007, 103, 2291,                                             2291, 0.0, 24450.76953125
24, -2598.799877524376, 2, 1.4985684020000178, 73, 2364,                                             2364, 0.0, 19214.857421875
25, -2632.714768409729, 2, 1.7188774460000218, 98, 2462,                                             2462, 0.0, 25887.267578125
26, -2438.5558058023453, 2, 1.4979145430000074, 75, 2537,                                             2537, 0.0, 25078.802734375
27, 1682.6835507154465, 1, 1.720189634999997, 104, 2641,                                             2641, 0.0, 21833.263671875
28, -2337.884941101074, 2, 1.3006183379999925, 64, 2705,                                             2705, 0.0, 31718.53515625
29, 1664.3134671449661, 1, 1.71893164399998, 97, 2802,                                             2802, 0.0, 24233.80859375
30, -4894.089184999466, 2, 6.902946829000001, 411, 3213,                                             3213, 0.0, 24666.326171875
31, -4504.398483514786, 2, 6.002814508, 368, 3581,                                             3581, 0.0, 17165.04296875
32, -2533.3112819194794, 2, 1.5166085680000094, 85, 3666,                                             3666, 0.0, 19939.4140625
33, -3041.797655940056, 2, 2.0973522260000266, 117, 3783,                                             3783, 0.0, 18052.0234375
34, -3987.5774809122086, 2, 3.7216007279999985, 225, 4008,                                             4008, 0.0, 20497.1796875
