episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
12701, -2759.49646968022, 2, 2.727330796999013, 93, 1169217,                                             1000000, 0.0, 5499.78271484375
12702, -2583.018176794052, 2, 0.9025816349967499, 31, 1169248,                                             1000000, 0.0, 2102.233154296875
12703, -2693.3904078006744, 2, 1.7011604639992584, 83, 1169331,                                             1000000, 0.0, 4017.734619140625
12704, -4217.026864409447, 2, 3.117889708999428, 174, 1169505,                                             1000000, 0.0, 4471.30517578125
12705, -3879.146373271942, 2, 2.500606825000432, 119, 1169624,                                             1000000, 0.0, 3337.358154296875
12706, -3520.9212799072266, 2, 1.7006502889998956, 78, 1169702,                                             1000000, 0.0, 4690.60791015625
12707, -3608.8876309394836, 2, 1.3158916190004675, 73, 1169775,                                             1000000, 0.0, 3920.46240234375
12708, -2918.4009239673615, 2, 2.0986372670013225, 105, 1169880,                                             1000000, 0.0, 5185.5029296875
12709, -3561.9124307632446, 2, 1.502561859000707, 65, 1169945,                                             1000000, 0.0, 3524.605712890625
12710, -4157.716170310974, 2, 2.3183147069976258, 125, 1170070,                                             1000000, 0.0, 3937.656982421875
12711, -8220.903953790665, 2, 6.635935400998278, 367, 1170437,                                             1000000, 0.0, 3529.513671875
12712, -3388.51921916008, 2, 1.9019270450007753, 86, 1170523,                                             1000000, 0.0, 4446.8232421875
12713, -3594.520099043846, 2, 1.9185996259984677, 98, 1170621,                                             1000000, 0.0, 5102.54638671875
12714, -2556.635087490082, 2, 1.7005597800016403, 78, 1170699,                                             1000000, 0.0, 5315.373046875
12715, -3635.1810908317566, 2, 1.519244618000812, 84, 1170783,                                             1000000, 0.0, 3466.95263671875
12716, -2911.2193608283997, 2, 1.7152942050015554, 89, 1170872,                                             1000000, 0.0, 4978.64453125
12717, -3053.5307850837708, 2, 1.500266113998805, 72, 1170944,                                             1000000, 0.0, 5097.9267578125
12718, -8517.71000868082, 2, 6.719494632998249, 365, 1171309,                                             1000000, 0.0, 4606.8740234375
12719, -2973.624405145645, 2, 2.5013348080028663, 119, 1171428,                                             1000000, 0.0, 3252.4990234375
12720, -5469.043320178986, 2, 3.921065135997196, 209, 1171637,                                             1000000, 0.0, 4939.0185546875
12721, -2548.8653090000153, 2, 1.7488176410006417, 77, 1171714,                                             1000000, 0.0, 3446.47802734375
12722, -4336.442765593529, 2, 3.919929060000868, 211, 1171925,                                             1000000, 0.0, 4179.6552734375
12723, -2839.3114511966705, 2, 1.7158640210000158, 94, 1172019,                                             1000000, 0.0, 3351.8720703125
12724, -3492.24188375473, 2, 1.7005299439988448, 75, 1172094,                                             1000000, 0.0, 4036.52294921875
12725, -6528.2714421749115, 2, 5.122867247999238, 284, 1172378,                                             1000000, 0.0, 4613.5712890625
12726, -3889.4107345342636, 2, 3.301177209999878, 171, 1172549,                                             1000000, 0.0, 2846.288818359375
12727, -5229.821198642254, 2, 5.7048664029971405, 298, 1172847,                                             1000000, 0.0, 3227.970947265625
12728, -2581.35022521019, 2, 1.7034276650010725, 77, 1172924,                                             1000000, 0.0, 2816.783935546875
12729, -2633.2800076007843, 2, 1.7182364600012079, 94, 1173018,                                             1000000, 0.0, 2854.188720703125
12730, -3271.06662607193, 2, 1.901310031000321, 91, 1173109,                                             1000000, 0.0, 5382.11083984375
12731, -4573.4839470386505, 2, 4.490943729000719, 231, 1173340,                                             1000000, 0.0, 4302.54736328125
12732, -3097.9033076763153, 2, 1.9180202970019309, 98, 1173438,                                             1000000, 0.0, 5246.30224609375
12733, -2713.204124212265, 2, 1.9010760019991721, 85, 1173523,                                             1000000, 0.0, 3062.876953125
12734, -2793.9393676519394, 2, 2.1191477039974416, 111, 1173634,                                             1000000, 0.0, 4950.5849609375
12735, -3331.8345708847046, 2, 2.300770442998328, 117, 1173751,                                             1000000, 0.0, 3450.400390625
12736, -5360.4152619838715, 2, 3.119168814002478, 171, 1173922,                                             1000000, 0.0, 3505.496337890625
12737, -7230.816831827164, 2, 6.104560190000484, 328, 1174250,                                             1000000, 0.0, 4328.91015625
12738, -2627.8536677360535, 2, 1.9037293999972462, 91, 1174341,                                             1000000, 0.0, 4772.783203125
12739, -4155.269747972488, 2, 2.503439863001404, 126, 1174467,                                             1000000, 0.0, 5461.888671875
12740, -2545.4814196825027, 2, 1.5193410310021136, 84, 1174551,                                             1000000, 0.0, 3051.195556640625
12741, -4019.4016630649567, 2, 2.986695502000657, 153, 1174704,                                             1000000, 0.0, 4107.2353515625
12742, -3051.403495311737, 2, 0.9190762779981014, 50, 1174754,                                             1000000, 0.0, 4297.6513671875
12743, -4867.294151067734, 2, 3.1019762830001127, 161, 1174915,                                             1000000, 0.0, 3642.7216796875
12744, -3738.1919157505035, 2, 1.5184259640009259, 77, 1174992,                                             1000000, 0.0, 4101.11376953125
12745, -2815.766477227211, 2, 1.9018665149997105, 96, 1175088,                                             1000000, 0.0, 4835.92919921875
12746, -4290.573135733604, 2, 3.5051554509991547, 173, 1175261,                                             1000000, 0.0, 4298.04638671875
12747, -3840.949720263481, 2, 3.119862745003047, 164, 1175425,                                             1000000, 0.0, 2995.046142578125
12748, -3065.109233856201, 2, 1.9011581570011913, 90, 1175515,                                             1000000, 0.0, 4673.74951171875
12749, -2793.025627374649, 2, 1.918598481999652, 96, 1175611,                                             1000000, 0.0, 4430.25634765625
12750, -3239.2219109535217, 2, 2.5012506960010796, 122, 1175733,                                             1000000, 0.0, 3746.590087890625
12751, -5368.762177705765, 2, 3.9351058169995667, 217, 1175950,                                             1000000, 0.0, 3954.759033203125
12752, -3843.9519736766815, 2, 2.7014082339992456, 133, 1176083,                                             1000000, 0.0, 3836.5146484375
12753, -2520.007236599922, 2, 1.7025589920012862, 83, 1176166,                                             1000000, 0.0, 3942.76318359375
12754, -2828.7177414894104, 2, 1.9190073089994257, 97, 1176263,                                             1000000, 0.0, 4319.78857421875
12755, -3054.4958317279816, 2, 1.7021509769983822, 75, 1176338,                                             1000000, 0.0, 4294.8115234375
12756, -6651.20523506403, 2, 6.1058937210000295, 324, 1176662,                                             1000000, 0.0, 3492.569091796875
12757, -2522.516993999481, 2, 1.5184775110028568, 82, 1176744,                                             1000000, 0.0, 4260.07373046875
12758, -2951.23978471756, 2, 2.30159715300033, 113, 1176857,                                             1000000, 0.0, 3621.0068359375
12759, -3407.540277481079, 2, 1.90314599499834, 91, 1176948,                                             1000000, 0.0, 4754.34814453125
12760, -4645.083857059479, 2, 3.103225847000431, 155, 1177103,                                             1000000, 0.0, 3624.822509765625
12761, -3716.919734120369, 2, 1.8574553960024787, 102, 1177205,                                             1000000, 0.0, 3090.747802734375
12762, -5412.287551641464, 2, 3.503238394001528, 175, 1177380,                                             1000000, 0.0, 3757.224609375
12763, -4460.86799633503, 2, 3.7198565299986512, 196, 1177576,                                             1000000, 0.0, 3199.98046875
12764, -3758.7456386089325, 2, 2.302638436998677, 111, 1177687,                                             1000000, 0.0, 4380.85009765625
12765, -2828.2266018390656, 2, 0.9183226649984135, 43, 1177730,                                             1000000, 0.0, 3846.669677734375
12766, -3324.3275138139725, 2, 2.7015502499998547, 140, 1177870,                                             1000000, 0.0, 3382.13330078125
12767, -3449.052098274231, 2, 2.103023146999476, 106, 1177976,                                             1000000, 0.0, 4443.67236328125
12768, -4642.760736465454, 2, 3.1045108870021068, 159, 1178135,                                             1000000, 0.0, 3502.084228515625
12769, -4744.784814715385, 2, 3.5197284069981833, 194, 1178329,                                             1000000, 0.0, 3860.8388671875
12770, -3182.99010181427, 2, 1.3011195080034668, 61, 1178390,                                             1000000, 0.0, 2592.27392578125
12771, -3739.4131004810333, 2, 1.7482418170002347, 86, 1178476,                                             1000000, 0.0, 3821.4755859375
12772, -2835.3659982681274, 2, 2.1193530300006387, 108, 1178584,                                             1000000, 0.0, 3734.2060546875
12773, -3607.0953986644745, 2, 1.7009651429980295, 84, 1178668,                                             1000000, 0.0, 4064.60302734375
12774, -3115.8694336414337, 2, 1.7191018539997458, 85, 1178753,                                             1000000, 0.0, 4894.5302734375
12775, -2637.830768585205, 2, 1.901263834999554, 86, 1178839,                                             1000000, 0.0, 3809.984619140625
12776, -3323.910313606262, 2, 2.703527077999752, 132, 1178971,                                             1000000, 0.0, 4528.78759765625
12777, -3823.1263949871063, 2, 2.5203922130021965, 132, 1179103,                                             1000000, 0.0, 5068.75830078125
12778, -4841.980512619019, 2, 3.102258503000485, 153, 1179256,                                             1000000, 0.0, 3469.38037109375
12779, -4025.6982378959656, 2, 2.3199587680028344, 128, 1179384,                                             1000000, 0.0, 3781.361083984375
12780, -5905.342377007008, 2, 5.103775868999946, 270, 1179654,                                             1000000, 0.0, 3428.054443359375
12781, -4694.4923639297485, 2, 4.069510171000729, 215, 1179869,                                             1000000, 0.0, 3934.911376953125
12782, -3576.117598056793, 2, 1.9035355460000574, 94, 1179963,                                             1000000, 0.0, 3721.056396484375
12783, -2533.7819764614105, 2, 1.5183896469970932, 79, 1180042,                                             1000000, 0.0, 3622.949462890625
12784, -4125.926971197128, 2, 3.3017931420035893, 169, 1180211,                                             1000000, 0.0, 3217.833251953125
12785, -3584.4347083568573, 2, 2.10326661399813, 101, 1180312,                                             1000000, 0.0, 3405.953857421875
12786, -3463.489940881729, 2, 1.3185822660016129, 64, 1180376,                                             1000000, 0.0, 3569.55224609375
12787, -2781.160340309143, 2, 1.9006079040009354, 87, 1180463,                                             1000000, 0.0, 3836.6240234375
12788, -4033.988191485405, 2, 2.1207162170030642, 107, 1180570,                                             1000000, 0.0, 3255.572509765625
12789, -3288.1572847366333, 2, 1.9005021449993365, 91, 1180661,                                             1000000, 0.0, 3300.380126953125
12790, -2827.303690671921, 2, 0.9184759620002296, 46, 1180707,                                             1000000, 0.0, 2118.79931640625
12791, -3250.408903360367, 2, 2.368724054998893, 119, 1180826,                                             1000000, 0.0, 3794.53369140625
12792, -4880.640638232231, 2, 4.904245498000819, 261, 1181087,                                             1000000, 0.0, 4490.2666015625
12793, -2661.2217342853546, 2, 1.7207203700018, 85, 1181172,                                             1000000, 0.0, 2182.329345703125
12794, -4273.6754155159, 2, 2.501105393999751, 127, 1181299,                                             1000000, 0.0, 4000.631591796875
12795, -6502.308118760586, 2, 5.521638581001753, 305, 1181604,                                             1000000, 0.0, 3597.4208984375
12796, -3851.548803806305, 2, 2.9012552079984744, 145, 1181749,                                             1000000, 0.0, 4044.402587890625
12797, -4310.795178890228, 2, 2.5203803299991705, 133, 1181882,                                             1000000, 0.0, 4166.26318359375
12798, -4432.423959970474, 2, 4.502631185998325, 236, 1182118,                                             1000000, 0.0, 3257.325439453125
12799, -3674.0160439014435, 2, 2.7227866860012, 152, 1182270,                                             1000000, 0.0, 3434.46728515625
12800, -3857.7298716306686, 2, 2.901150662000873, 150, 1182420,                                             1000000, 0.0, 3955.680908203125
12801, -3764.94677233696, 2, 2.0429389380005887, 103, 1182523,                                             1000000, 0.0, 3420.48046875
12802, -3389.612585902214, 2, 2.903647455997998, 141, 1182664,                                             1000000, 0.0, 3193.516845703125
12803, -4420.642328500748, 2, 3.704023219001101, 185, 1182849,                                             1000000, 0.0, 3253.59619140625
12804, -3282.548166036606, 2, 2.70457254899884, 130, 1182979,                                             1000000, 0.0, 3754.48681640625
12805, -8202.97197085619, 2, 6.506156057002954, 348, 1183327,                                             1000000, 0.0, 4056.4140625
12806, -3768.1536116600037, 2, 2.904267648998939, 144, 1183471,                                             1000000, 0.0, 4028.598876953125
12807, -4213.89884352684, 2, 2.3211399930005427, 127, 1183598,                                             1000000, 0.0, 4127.76953125
12808, -3018.3512876033783, 2, 1.9007311959976505, 95, 1183693,                                             1000000, 0.0, 3789.199951171875
12809, -3865.150835752487, 2, 2.72056244399937, 145, 1183838,                                             1000000, 0.0, 3300.575927734375
12810, -4056.4204568862915, 2, 2.501537524000014, 127, 1183965,                                             1000000, 0.0, 3813.029296875
12811, -2696.59113740921, 2, 1.6415407409986074, 81, 1184046,                                             1000000, 0.0, 3631.166748046875
12812, -3033.8410742282867, 2, 1.7005992060003337, 75, 1184121,                                             1000000, 0.0, 4567.83544921875
12813, -3002.5211765766144, 2, 1.922244381999917, 98, 1184219,                                             1000000, 0.0, 3590.352294921875
12814, -2735.630743741989, 2, 0.8997711750016606, 39, 1184258,                                             1000000, 0.0, 4347.78662109375
12815, -3724.903566837311, 2, 2.9214110579996486, 152, 1184410,                                             1000000, 0.0, 3720.96044921875
12816, -5154.698178768158, 2, 4.102120392999495, 209, 1184619,                                             1000000, 0.0, 4307.52880859375
12817, -3945.452600479126, 2, 3.302802034002525, 166, 1184785,                                             1000000, 0.0, 4319.11865234375
12818, -5441.552332282066, 2, 4.1234150390009745, 223, 1185008,                                             1000000, 0.0, 3973.975830078125
12819, -4794.743924856186, 2, 3.502082054998027, 178, 1185186,                                             1000000, 0.0, 4671.82421875
12820, -3567.9028770923615, 2, 2.1040037759994448, 97, 1185283,                                             1000000, 0.0, 3607.392333984375
12821, -2824.0296428203583, 2, 1.9376223890030815, 89, 1185372,                                             1000000, 0.0, 4612.302734375
12822, -3298.430651664734, 2, 1.9035846980004862, 92, 1185464,                                             1000000, 0.0, 5515.75634765625
12823, -3488.782397508621, 2, 1.9032968889987387, 86, 1185550,                                             1000000, 0.0, 3550.14306640625
12824, -2697.8580107688904, 2, 1.720436677998805, 87, 1185637,                                             1000000, 0.0, 4507.7314453125
12825, -3705.7930405139923, 2, 2.101626657000452, 103, 1185740,                                             1000000, 0.0, 4180.19580078125
12826, -5350.763932108879, 2, 3.7170218329993077, 205, 1185945,                                             1000000, 0.0, 4039.99169921875
12827, -2686.2070746421814, 2, 1.701251759997831, 82, 1186027,                                             1000000, 0.0, 2879.646728515625
12828, -6615.281329870224, 2, 4.50500871499753, 239, 1186266,                                             1000000, 0.0, 3574.689697265625
12829, -5647.5493104457855, 2, 4.720148577998771, 259, 1186525,                                             1000000, 0.0, 3874.908935546875
12830, -4291.122505903244, 2, 3.101520468000672, 152, 1186677,                                             1000000, 0.0, 2612.346435546875
12831, -3401.1441147327423, 2, 1.8481053760006034, 85, 1186762,                                             1000000, 0.0, 2525.208251953125
12832, -2876.0265793800354, 2, 1.7171414469994488, 90, 1186852,                                             1000000, 0.0, 3807.03369140625
12833, -3662.8995893001556, 2, 2.90194961099769, 148, 1187000,                                             1000000, 0.0, 3455.65966796875
12834, -3768.669644474983, 2, 2.503012861998286, 128, 1187128,                                             1000000, 0.0, 3765.131103515625
12835, -4604.849374055862, 2, 2.303503549999732, 116, 1187244,                                             1000000, 0.0, 3324.4814453125
12836, -3463.444555282593, 2, 1.7040775410023343, 79, 1187323,                                             1000000, 0.0, 4269.017578125
12837, -2816.8464000225067, 2, 1.5216961179976352, 81, 1187404,                                             1000000, 0.0, 2992.314208984375
12838, -5306.183699846268, 2, 3.702914559002238, 185, 1187589,                                             1000000, 0.0, 3600.898681640625
