episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
17101, 736.5389978885651, 1, 2.2730983540004672, 94, 1665959,                                             1000000, 0.0, 3685.382080078125
17102, -23289.169110298157, 2, 22.76373888099988, 1355, 1667314,                                             1000000, 0.0, 4340.2607421875
17103, -7948.950550079346, 2, 9.936936018000779, 591, 1667905,                                             1000000, 0.0, 4697.53955078125
17104, -3061.8974742889404, 2, 1.4987240200007363, 68, 1667973,                                             1000000, 0.0, 3057.5654296875
17105, -4651.347851991653, 2, 2.301360614001169, 122, 1668095,                                             1000000, 0.0, 3681.033447265625
17106, -2752.0742592811584, 2, 0.7139933999987988, 34, 1668129,                                             1000000, 0.0, 4052.166748046875
17107, -3082.3242626190186, 2, 1.7002278399995703, 82, 1668211,                                             1000000, 0.0, 5282.9228515625
17108, -5232.389056444168, 2, 3.1136130830000184, 176, 1668387,                                             1000000, 0.0, 4978.162109375
17109, -2976.1743059158325, 2, 1.7000231860001804, 81, 1668468,                                             1000000, 0.0, 5768.9697265625
17110, -4948.829773783684, 2, 4.716881491000095, 273, 1668741,                                             1000000, 0.0, 4052.97216796875
17111, -4947.158529758453, 2, 2.8021655369993823, 147, 1668888,                                             1000000, 0.0, 4795.47705078125
17112, -6699.210160374641, 2, 4.316262370999539, 250, 1669138,                                             1000000, 0.0, 4429.15283203125
17113, -6098.868207871914, 2, 5.702673429999777, 319, 1669457,                                             1000000, 0.0, 3636.5439453125
17114, -5433.181447505951, 2, 3.303193409999949, 173, 1669630,                                             1000000, 0.0, 3639.468505859375
17115, -2611.221948862076, 2, 0.7159413940007653, 35, 1669665,                                             1000000, 0.0, 5991.2607421875
17116, -4854.420468330383, 2, 4.10055750399988, 223, 1669888,                                             1000000, 0.0, 4741.8232421875
17117, -2657.3192138671875, 2, 0.7149366599987843, 30, 1669918,                                             1000000, 0.0, 3092.6787109375
17118, -3641.2306835651398, 2, 2.302033014000699, 123, 1670041,                                             1000000, 0.0, 5278.505859375
17119, -3100.761539697647, 2, 1.1146267380008794, 56, 1670097,                                             1000000, 0.0, 3735.65673828125
17120, -4653.891117215157, 2, 3.300847660000727, 177, 1670274,                                             1000000, 0.0, 4718.95703125
17121, -5608.314715147018, 2, 4.153327220999927, 237, 1670511,                                             1000000, 0.0, 4069.25048828125
17122, -5232.187239289284, 2, 4.502204422999057, 245, 1670756,                                             1000000, 0.0, 4473.71337890625
17123, -3177.420644760132, 2, 1.115788106000764, 63, 1670819,                                             1000000, 0.0, 4982.14306640625
17124, -4329.3954818844795, 2, 3.9015772080001625, 210, 1671029,                                             1000000, 0.0, 3764.89453125
17125, -3366.2308242321014, 2, 1.9162861790009629, 106, 1671135,                                             1000000, 0.0, 2750.078369140625
17126, -3660.16578745842, 2, 2.1006617229995754, 111, 1671246,                                             1000000, 0.0, 4115.1279296875
17127, -3751.782453775406, 2, 2.1170381190004264, 117, 1671363,                                             1000000, 0.0, 3470.70947265625
17128, -5348.643955230713, 2, 4.10218332399927, 218, 1671581,                                             1000000, 0.0, 4250.6669921875
17129, -3702.6893458366394, 2, 2.3160121040000377, 133, 1671714,                                             1000000, 0.0, 4139.09326171875
17130, -3444.8355226516724, 2, 2.500949863000642, 136, 1671850,                                             1000000, 0.0, 4646.95166015625
17131, -549.9449111819267, 1, 4.850323300999662, 263, 1672113,                                             1000000, 0.0, 4430.4521484375
17132, -2748.408536195755, 2, 1.3161526900003082, 76, 1672189,                                             1000000, 0.0, 5011.63671875
17133, -5791.80628734827, 2, 4.30194951500016, 241, 1672430,                                             1000000, 0.0, 3892.00927734375
17134, -5657.745770394802, 2, 4.716847879000852, 272, 1672702,                                             1000000, 0.0, 4514.1806640625
17135, -5409.538778543472, 2, 4.302115115000561, 231, 1672933,                                             1000000, 0.0, 4131.60302734375
17136, -3891.097820162773, 2, 3.902608231001068, 209, 1673142,                                             1000000, 0.0, 3552.084716796875
17137, -2739.4710354804993, 2, 0.7163730939992092, 33, 1673175,                                             1000000, 0.0, 4507.14013671875
17138, -2521.5028421878815, 2, 1.5010999249989254, 65, 1673240,                                             1000000, 0.0, 4105.90771484375
17139, -3862.6037957668304, 2, 2.3182949059992097, 135, 1673375,                                             1000000, 0.0, 4431.76318359375
17140, -6113.164281189442, 2, 4.701398842000344, 264, 1673639,                                             1000000, 0.0, 4010.945556640625
17141, -3777.759212255478, 2, 1.980255673001011, 112, 1673751,                                             1000000, 0.0, 4074.965576171875
17142, -1192.4302796125412, 1, 4.902343533000021, 264, 1674015,                                             1000000, 0.0, 4311.6142578125
17143, -5539.822867870331, 2, 4.103364758999305, 220, 1674235,                                             1000000, 0.0, 3077.697998046875
17144, -5725.368236780167, 2, 4.719201152000096, 261, 1674496,                                             1000000, 0.0, 4326.82861328125
17145, -2983.0531655550003, 1, 5.502454639999996, 302, 1674798,                                             1000000, 0.0, 4427.3359375
17146, -6677.293507575989, 2, 4.3165454720001435, 234, 1675032,                                             1000000, 0.0, 3778.877197265625
17147, -3199.6957716941833, 2, 2.1006894950005517, 104, 1675136,                                             1000000, 0.0, 5409.3447265625
17148, -989.0874801874161, 1, 4.717751784000939, 265, 1675401,                                             1000000, 0.0, 4534.74462890625
17149, -3600.3433558940887, 2, 2.300803748999897, 113, 1675514,                                             1000000, 0.0, 4541.2412109375
17150, -4504.046124458313, 2, 3.117769730000873, 173, 1675687,                                             1000000, 0.0, 4171.09619140625
17151, -4890.765143156052, 2, 3.2539256010004465, 168, 1675855,                                             1000000, 0.0, 5066.08447265625
17152, -5521.714343547821, 2, 3.5171073069996055, 204, 1676059,                                             1000000, 0.0, 4146.4462890625
17153, -1218.43801343441, 1, 4.901748346999739, 272, 1676331,                                             1000000, 0.0, 3852.73876953125
17154, -3250.4901299476624, 2, 1.3017526809999254, 59, 1676390,                                             1000000, 0.0, 2744.701171875
17155, -5291.228700995445, 2, 4.117393843000173, 240, 1676630,                                             1000000, 0.0, 4128.06884765625
17156, -2604.1033329963684, 2, 1.3005807219997223, 61, 1676691,                                             1000000, 0.0, 6534.71826171875
17157, -3337.121905565262, 2, 1.3162564739996014, 75, 1676766,                                             1000000, 0.0, 2909.67041015625
17158, -5037.93108022213, 2, 4.502243135000754, 248, 1677014,                                             1000000, 0.0, 3695.034423828125
17159, -2564.8972759246826, 2, 0.7183315180009231, 30, 1677044,                                             1000000, 0.0, 3299.297607421875
17160, -5651.271265089512, 2, 5.1028980020000745, 277, 1677321,                                             1000000, 0.0, 3831.2978515625
17161, -5146.877633094788, 2, 4.3785647280001285, 244, 1677565,                                             1000000, 0.0, 3746.9912109375
17162, -2733.691869735718, 2, 0.7161376919993927, 35, 1677600,                                             1000000, 0.0, 2232.3974609375
17163, -3804.210473060608, 2, 2.300284704999285, 118, 1677718,                                             1000000, 0.0, 3876.162841796875
17164, -4174.264174699783, 2, 2.1175541270004032, 122, 1677840,                                             1000000, 0.0, 3698.416748046875
17165, -2599.334358215332, 2, 1.300036081000144, 63, 1677903,                                             1000000, 0.0, 4047.94677734375
17166, -2750.437266588211, 2, 1.5025506669990136, 69, 1677972,                                             1000000, 0.0, 3316.338134765625
17167, -3885.8754246234894, 2, 2.303093794000233, 119, 1678091,                                             1000000, 0.0, 5617.85986328125
17168, -2675.286716222763, 2, 1.316828978000558, 66, 1678157,                                             1000000, 0.0, 5250.6083984375
17169, -3052.182673931122, 2, 1.5004517609995673, 69, 1678226,                                             1000000, 0.0, 3818.94873046875
17170, -3532.2069635391235, 2, 1.3173038189997897, 76, 1678302,                                             1000000, 0.0, 3297.318115234375
17171, -3370.3768351078033, 2, 1.4951236460001383, 66, 1678368,                                             1000000, 0.0, 5259.20458984375
