episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
10001, 2285.737275570631, 1, 1.8158317379998152, 60, 943077,                                             1000000, 0.0, 42786.14453125
10002, -8838.314707875252, 4, 24.95667167099964, 1405, 944482,                                             1000000, 0.0, 45163.38671875
10003, -3987.365011692047, 2, 6.119101515999773, 341, 944823,                                             1000000, 0.0, 44728.76953125
10004, -4154.220808148384, 2, 5.901156307999827, 317, 945140,                                             1000000, 0.0, 46662.15234375
10005, -2539.628489971161, 4, 8.904849127000034, 484, 945624,                                             1000000, 0.0, 40120.953125
10006, -5397.619580030441, 2, 6.9028790400002435, 365, 945989,                                             1000000, 0.0, 43363.16015625
10007, -2144.5596722364426, 4, 8.92178264400036, 489, 946478,                                             1000000, 0.0, 46842.6875
10008, -2838.3150243759155, 4, 9.303826948000278, 500, 946978,                                             1000000, 0.0, 42806.828125
10009, -2562.799136161804, 2, 1.7165750449998995, 84, 947062,                                             1000000, 0.0, 46273.0546875
10010, -5533.955869674683, 2, 6.90318262000028, 358, 947420,                                             1000000, 0.0, 44520.66015625
10011, -2622.8384951353073, 2, 0.6448691969999345, 32, 947452,                                             1000000, 0.0, 51620.28125
10012, -3779.2844576835632, 2, 1.8987813939997977, 86, 947538,                                             1000000, 0.0, 52705.34375
10013, -2847.9374508857727, 2, 0.9158033090002391, 40, 947578,                                             1000000, 0.0, 34686.1328125
10014, -3800.305960893631, 2, 2.499160370000027, 120, 947698,                                             1000000, 0.0, 44655.23046875
10015, -2553.513895750046, 2, 0.7161780480000743, 30, 947728,                                             1000000, 0.0, 58198.45703125
