episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
2001, 2450.8414580002427, 1, 1.9331163819997528, 55, 181122,                                             181122, 0.0, 36828.52734375
2002, -4056.4750410318375, 2, 5.3141470569999, 301, 181423,                                             181423, 0.0, 41444.0234375
2003, -3792.4259226322174, 2, 5.5192350850002185, 311, 181734,                                             181734, 0.0, 41394.25390625
2004, -4180.38812994957, 2, 5.333110654999928, 308, 182042,                                             182042, 0.0, 41092.27734375
2005, -4326.911009192467, 2, 6.513772526000139, 333, 182375,                                             182375, 0.0, 39467.4609375
2006, -4866.622842788696, 2, 7.315973376000329, 389, 182764,                                             182764, 0.0, 42169.44140625
2007, -3144.2939690351486, 2, 3.7332800650001445, 196, 182960,                                             182960, 0.0, 43057.75
2008, -4009.1930409669876, 2, 5.717894670999613, 312, 183272,                                             183272, 0.0, 42263.23828125
2009, -4371.53624689579, 2, 6.33230174099981, 367, 183639,                                             183639, 0.0, 42929.23046875
2010, -4670.9509643912315, 2, 6.522220807000394, 373, 184012,                                             184012, 0.0, 42792.35546875
2011, -8837.489986896515, 2, 17.783229489000405, 1006, 185018,                                             185018, 0.0, 38884.8046875
2012, -2367.213038921356, 2, 1.300923652000165, 64, 185082,                                             185082, 0.0, 42008.78125
2013, -2367.585939645767, 2, 1.1155478959999527, 60, 185142,                                             185142, 0.0, 31480.662109375
2014, -2307.323250889778, 2, 1.0997860709999259, 51, 185193,                                             185193, 0.0, 46752.609375
2015, -2387.148785471916, 2, 1.3013269690000016, 58, 185251,                                             185251, 0.0, 36528.78515625
2016, -2451.585701107979, 2, 1.3033370670000295, 54, 185305,                                             185305, 0.0, 34132.109375
2017, -3382.70969748497, 2, 3.1024802670003737, 166, 185471,                                             185471, 0.0, 45737.9765625
2018, -2310.763015627861, 2, 1.11588625999957, 56, 185527,                                             185527, 0.0, 33130.1328125
2019, -2349.3718779683113, 2, 1.298671399000341, 56, 185583,                                             185583, 0.0, 39274.3984375
2020, -2573.527119874954, 2, 1.5007170140002017, 73, 185656,                                             185656, 0.0, 37646.9296875
2021, -2299.2410982847214, 2, 1.3357837979997385, 55, 185711,                                             185711, 0.0, 41806.89453125
2022, -2425.3980157375336, 2, 1.1156900219998533, 53, 185764,                                             185764, 0.0, 39736.1953125
2023, -2418.8201845288277, 2, 1.498543348000112, 71, 185835,                                             185835, 0.0, 37037.12890625
2024, -2451.2484372854233, 2, 1.1158948160000364, 62, 185897,                                             185897, 0.0, 42998.1953125
2025, -2317.213009119034, 2, 1.2983091199998853, 57, 185954,                                             185954, 0.0, 45246.31640625
2026, -2558.061572790146, 2, 1.3190727729997889, 64, 186018,                                             186018, 0.0, 38631.21875
2027, 2039.6125959157944, 1, 1.2984076249999816, 60, 186078,                                             186078, 0.0, 43390.63671875
2028, -2640.1636941432953, 2, 1.900883101999625, 86, 186164,                                             186164, 0.0, 36623.11328125
