episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
10001, 2369.6089417934418, 1, 1.8464796019998175, 63, 943080,                                             1000000, 0.0, 44823.984375
10002, -6548.946484088898, 2, 10.318805552999947, 585, 943665,                                             1000000, 0.0, 47291.0
10003, -6556.066391348839, 2, 11.94326179599966, 730, 944395,                                             1000000, 0.0, 46607.79296875
10004, -4524.236978650093, 2, 2.5003586809998524, 136, 944531,                                             1000000, 0.0, 52390.75
10005, -5791.459522247314, 2, 9.91577889600012, 596, 945127,                                             1000000, 0.0, 46336.984375
10006, -7346.10428249836, 2, 13.5033884139998, 807, 945934,                                             1000000, 0.0, 44931.48828125
10007, -5300.5331691503525, 2, 6.317742542999895, 370, 946304,                                             1000000, 0.0, 41416.3359375
10008, -6465.013436079025, 2, 11.505171076999886, 664, 946968,                                             1000000, 0.0, 46684.42578125
10009, -5271.35992372036, 2, 2.7030815429998256, 139, 947107,                                             1000000, 0.0, 44419.05078125
10010, -5492.554410815239, 4, 16.50847172900012, 958, 948065,                                             1000000, 0.0, 44323.453125
10011, -8653.633941411972, 2, 16.05643321000025, 952, 949017,                                             1000000, 0.0, 47002.28125
10012, -3326.9185338020325, 2, 1.1143503419998524, 68, 949085,                                             1000000, 0.0, 42378.234375
10013, -3096.098163127899, 2, 2.899241629000244, 165, 949250,                                             1000000, 0.0, 44279.2890625
10014, -3715.0186344385147, 2, 3.315372226999898, 195, 949445,                                             1000000, 0.0, 41253.609375
10015, -6615.185905098915, 2, 10.702154047000022, 631, 950076,                                             1000000, 0.0, 45751.52734375
10016, -3887.425995349884, 2, 5.315340357999958, 323, 950399,                                             1000000, 0.0, 45967.0
10017, -3968.709587931633, 2, 5.300429137999799, 302, 950701,                                             1000000, 0.0, 40269.796875
10018, -3787.947905421257, 2, 4.314486931999909, 255, 950956,                                             1000000, 0.0, 42508.6796875
10019, -5132.748634338379, 4, 16.104795318000015, 969, 951925,                                             1000000, 0.0, 41271.05078125
10020, -3794.283572077751, 2, 4.314772668999922, 252, 952177,                                             1000000, 0.0, 40845.8359375
10021, -5146.36655330658, 2, 8.99971867100021, 538, 952715,                                             1000000, 0.0, 45424.1328125
10022, -5420.737270832062, 4, 15.920266337000157, 969, 953684,                                             1000000, 0.0, 45700.265625
10023, -3851.989568710327, 2, 5.300209246000122, 305, 953989,                                             1000000, 0.0, 44717.90625
10024, -5596.99661052227, 4, 16.120330736999676, 971, 954960,                                             1000000, 0.0, 46252.3203125
10025, -4430.921628236771, 2, 7.901107574999969, 463, 955423,                                             1000000, 0.0, 47702.36328125
10026, -5420.196529150009, 4, 15.920332822000091, 961, 956384,                                             1000000, 0.0, 46076.609375
10027, -5633.623696386814, 4, 16.104512758000055, 962, 957346,                                             1000000, 0.0, 44620.5078125
10028, -5029.97180223465, 4, 15.919718298999669, 960, 958306,                                             1000000, 0.0, 43483.19921875
10029, -6229.557266354561, 2, 11.103210989000218, 665, 958971,                                             1000000, 0.0, 42715.09765625
10030, -3801.79713845253, 2, 4.902032821000375, 282, 959253,                                             1000000, 0.0, 42303.875
10031, -5565.67670249939, 2, 9.370618958999785, 558, 959811,                                             1000000, 0.0, 44297.671875
10032, -5289.952150464058, 4, 16.123182537999583, 975, 960786,                                             1000000, 0.0, 43157.42578125
10033, -4832.519183039665, 2, 8.10261252700002, 481, 961267,                                             1000000, 0.0, 44318.5703125
10034, -6247.599610507488, 2, 12.305294068999956, 734, 962001,                                             1000000, 0.0, 44482.07421875
10035, -5493.926073074341, 4, 16.105994407999788, 964, 962965,                                             1000000, 0.0, 44775.28125
10036, -5502.641420662403, 2, 10.718381546000273, 653, 963618,                                             1000000, 0.0, 40070.74609375
10037, -6616.908870577812, 2, 14.704469516000245, 880, 964498,                                             1000000, 0.0, 42847.7109375
10038, -4780.091606497765, 2, 9.318020829000034, 560, 965058,                                             1000000, 0.0, 42901.73046875
10039, -4716.607352733612, 4, 16.10519269300039, 969, 966027,                                             1000000, 0.0, 43126.4921875
10040, -6505.58375620842, 2, 11.518740675000117, 692, 966719,                                             1000000, 0.0, 43376.09375
10041, -5227.59713602066, 2, 8.295385282000098, 492, 967211,                                             1000000, 0.0, 42923.921875
10042, -5677.101066470146, 4, 16.30568573599976, 974, 968185,                                             1000000, 0.0, 42449.52734375
10043, -4751.108451604843, 4, 16.107371867999973, 964, 969149,                                             1000000, 0.0, 42840.63671875
10044, -4145.7567303180695, 2, 6.517497187000117, 386, 969535,                                             1000000, 0.0, 43230.7109375
10045, -3227.143741965294, 2, 4.099324316000093, 230, 969765,                                             1000000, 0.0, 40708.94921875
10046, -5622.567653656006, 4, 16.323734677000175, 963, 970728,                                             1000000, 0.0, 41878.828125
10047, -3793.183599472046, 2, 6.101116723999894, 314, 971042,                                             1000000, 0.0, 40477.48828125
10048, -6485.201367676258, 4, 16.90665659899969, 958, 972000,                                             1000000, 0.0, 45540.26953125
10049, -2996.1417603492737, 2, 2.515064962999986, 141, 972141,                                             1000000, 0.0, 47095.7890625
10050, -6444.330259859562, 2, 13.904815205999967, 824, 972965,                                             1000000, 0.0, 41573.12109375
10051, -3898.465012729168, 2, 6.42690525099988, 375, 973340,                                             1000000, 0.0, 41528.30859375
10052, -6356.604658186436, 2, 10.319292928000323, 617, 973957,                                             1000000, 0.0, 43703.15234375
10053, -4775.425700306892, 4, 16.117976768000062, 980, 974937,                                             1000000, 0.0, 43245.20703125
10054, -4787.998346447945, 4, 16.305396785000084, 980, 975917,                                             1000000, 0.0, 42810.41796875
10055, -4983.206496596336, 2, 9.317475365000064, 565, 976482,                                             1000000, 0.0, 40081.25390625
10056, -3611.969074368477, 2, 3.514751838000393, 215, 976697,                                             1000000, 0.0, 39366.30078125
10057, -5821.319377422333, 4, 16.305256080999698, 978, 977675,                                             1000000, 0.0, 42660.38671875
10058, -4435.388823151588, 2, 6.517511584000204, 388, 978063,                                             1000000, 0.0, 42753.20703125
10059, -4354.579080581665, 2, 5.7006579619996955, 331, 978394,                                             1000000, 0.0, 45003.95703125
10060, -4060.4610011577606, 2, 5.31686853400015, 324, 978718,                                             1000000, 0.0, 41722.078125
10061, -5329.470040440559, 4, 16.36047826999993, 977, 979695,                                             1000000, 0.0, 46052.0078125
10062, -5035.817140519619, 4, 16.106634632999885, 965, 980660,                                             1000000, 0.0, 43017.984375
10063, -6769.119109392166, 2, 14.906933011000092, 894, 981554,                                             1000000, 0.0, 43717.6640625
10064, -3698.5501267313957, 2, 5.50179161799997, 314, 981868,                                             1000000, 0.0, 41406.9921875
10065, -5380.063382148743, 2, 9.719114210000043, 587, 982455,                                             1000000, 0.0, 41843.1484375
10066, -6362.064448833466, 4, 16.30473357699975, 980, 983435,                                             1000000, 0.0, 43051.6015625
10067, -6672.665478169918, 2, 10.718523404999814, 649, 984084,                                             1000000, 0.0, 42971.71875
10068, -2920.3607283830643, 2, 2.2994253980000394, 122, 984206,                                             1000000, 0.0, 39730.88671875
10069, -6422.6541303396225, 4, 15.921599350000179, 972, 985178,                                             1000000, 0.0, 43634.0625
10070, -3368.9788930416107, 2, 3.100363817000016, 173, 985351,                                             1000000, 0.0, 42554.76171875
10071, -7104.437321066856, 2, 12.906635467999877, 767, 986118,                                             1000000, 0.0, 43069.6640625
10072, -3918.1082442998886, 2, 5.517812769000102, 332, 986450,                                             1000000, 0.0, 43672.0703125
10073, -6352.348234832287, 4, 16.305171379000058, 982, 987432,                                             1000000, 0.0, 43204.234375
10074, -8142.612056851387, 2, 14.906577133000155, 892, 988324,                                             1000000, 0.0, 40842.23046875
10075, -5530.503973722458, 4, 15.920331092000197, 969, 989293,                                             1000000, 0.0, 40304.28515625
10076, -4321.777742266655, 2, 7.302556803000243, 426, 989719,                                             1000000, 0.0, 46700.18359375
10077, -3948.2058461904526, 2, 5.702675190000264, 330, 990049,                                             1000000, 0.0, 44719.1484375
10078, -5653.405084133148, 4, 16.10721576900005, 967, 991016,                                             1000000, 0.0, 45146.78125
10079, -3338.0904775857925, 2, 3.1011009300000296, 175, 991191,                                             1000000, 0.0, 44765.2265625
10080, -5512.612800300121, 4, 15.921537755000372, 969, 992160,                                             1000000, 0.0, 41831.49609375
10081, -3562.034816503525, 2, 4.223116158000266, 243, 992403,                                             1000000, 0.0, 43244.33984375
10082, -6398.390977501869, 4, 15.91912506000017, 972, 993375,                                             1000000, 0.0, 43951.16015625
10083, -5578.97806596756, 4, 16.307009535999896, 977, 994352,                                             1000000, 0.0, 42792.37109375
10084, -6164.011471033096, 4, 16.306667064000067, 975, 995327,                                             1000000, 0.0, 44665.41796875
10085, -6112.726365804672, 2, 10.903615870000067, 651, 995978,                                             1000000, 0.0, 42797.34375
10086, -3231.405677676201, 2, 2.9171509259999766, 171, 996149,                                             1000000, 0.0, 40772.671875
10087, -4141.667312383652, 2, 7.102297782999813, 421, 996570,                                             1000000, 0.0, 43437.82421875
10088, -2508.782548427582, 2, 1.5000474769999528, 78, 996648,                                             1000000, 0.0, 42786.359375
10089, -3862.809726893902, 2, 5.30211230499981, 305, 996953,                                             1000000, 0.0, 38471.0859375
10090, -8207.274310827255, 2, 15.321548932000042, 938, 997891,                                             1000000, 0.0, 42658.546875
10091, -2978.393180847168, 2, 3.1509592369998245, 169, 998060,                                             1000000, 0.0, 43042.640625
